s	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
ERR478960	-1.69293774348809	-0.328831901293082	-2.08520504635798	-0.831596624678988	1.2498833213605	2.60258711930664	1.29324024256307	6.65529146335237	1.59234607923705	-7.95799424099997
ERR478961	-1.50067938434118	-0.297000316290311	-2.38369977279592	-0.892468408298216	1.27009557337403	2.7750872916515	1.32634375016727	6.74079551621078	1.7519523855228	-7.942728080775
ERR478962	-0.858098127833491	-0.623492019493665	-0.865608370745728	-1.32348024426635	-0.13841542755698	0.777527242405769	-1.24336668124831	1.95759678232048	0.72259456182266	3.04310162850189
ERR478963	-0.363686359861485	-0.584972101379376	-0.814204564150096	-1.26095722496314	-0.176541887043543	0.807179565199235	-1.20030769716274	1.8308807849261	0.724314169236174	3.13598334270669
ERR478964	-1.78421016830721	-1.54079647119557	-3.9074343953193	-4.01008568117918	-7.61804053809611	-5.72473282006218	-0.733606170668173	-5.10605366948398	1.50285660557717	-2.72207827970335
ERR478965	-1.76990001644789	-1.4480117672724	-4.07459220254614	-3.91303574767758	-7.29644227388024	-5.31377956585608	-0.629310787658265	-4.91714078925861	1.45888379832093	-2.48418274729093
ERR478966	-2.04331703224603	-1.91646170660927	-4.76560215328657	-4.78072971749004	-8.99149128008771	-6.82278483915312	-0.787153600789992	-6.40529505996835	2.09483833299342	-3.61574936997447
ERR478967	-1.82450887370057	-1.57424961303346	-4.06710724906001	-3.98460801895672	-7.78277049186219	-5.50294333619958	-0.610412924840001	-5.10189666995801	1.85733228056514	-2.83441207133056
ERR478968	-1.74655364359087	0.812119299100622	-0.806986215956065	-0.3790824605998	3.67769140120338	10.4266491303635	-12.2279884629851	-7.30843013410522	1.49792241638307	-1.74518023809889
ERR478969	-1.83436970428678	0.434738049870697	-0.64324051929682	0.430572223440968	3.89957749579103	10.5714587692423	-12.3764289355865	-7.77469962648623	1.65410905110218	-1.9286940160071
ERR478959	-1.50668122223438	-0.294302026375977	-2.4108548568126	-0.876544009623138	1.10681765499252	2.88348715503985	1.35475315452325	6.72973016639101	1.74960021126929	-7.98952698236249
ERR478958	-1.52042806867196	-0.300058628978846	-2.42099893408286	-0.84301230357081	1.23517822835654	2.8010597164439	1.27490583477213	6.7797923231526	1.80183523498413	-7.86673634765214
ERR479000	-2.43072081917094	-2.33398028594732	0.876870083505708	0.610859422315897	0.456612365339651	6.59470506626154	9.75034338075054	-5.6852243106957	-0.694083122787282	0.545129724556052
ERR479001	-2.2181826435916	-1.93809890154951	0.715733252472796	0.0898171414102684	0.426352001623781	5.41821606093677	7.95024026968499	-4.85953285794815	-0.304019436414025	0.33342454037142
ERR479002	-2.57861189471683	-2.30580185197416	0.994612324342304	0.35408094443362	1.05854735255997	6.56553212443951	10.3534115964778	-6.17559314403893	-0.7475893017473	0.402866339775401
ERR479003	-2.4380491388176	-2.11102717349288	0.649747434363354	0.226825414058066	0.185856034994372	5.75180748027856	8.74550901797668	-4.97311573132082	-0.357832897641431	0.575100190046403
ERR479004	-1.55749610291323	-0.167877629497045	-2.39922761655552	-1.37177662072676	-0.279346159176165	0.857034098544142	0.497645777483676	3.05884808902838	0.298210490408989	5.68192450017323
ERR479005	-1.41382945509538	-0.0670034190151038	-2.36882459875098	-1.15374914726863	-0.564993678914472	0.845689975625264	0.365540265223836	3.07224917518165	0.591908757751381	5.11354623960212
